age,city,dist,gender,make,year,model,new_used,quote
23,Cambridge,14130,m,gmc,2004,yukon,used,295.41349264278847
48,Red Deer,22920,m,bmw,2011,x5,used,435.9721786837661
32,Medicine Hat,16342,m,mercedes,2018,g,used,435.9721786837661
58,Grande Prairie,4795,m,nissan,2004,micro,used,286.44818973603816
52,Kelowna,9351,f,mercedes,2016,s,used,433.20572428197823
57,Kelowna,20770,m,nissan,2014,mirano,used,409.1951899571895
65,Vaughan,4966,f,chevy,2000,malibu,used,406.42873555540154
36,Chilliwack,16623,f,ford,2011,explorer,used,283.6817353342503
41,St. Catharines,20761,m,toyota,2004,camry,used,409.1951899571895
73,Edmonton,2199,f,acura,2017,rsx,used,106.14231889653581
69,Granby,15753,f,audi,2006,e-tron,used,310.45872406082697
49,Pickering,22349,m,gmc,2001,yukon,used,409.1951899571895
38,Saint-Jerome,12941,m,tesla,1999,s,used,419.98816632365237
81,Blainville,9470,f,ford,2005,focus,used,283.6817353342503
33,Red Deer,1323,m,audi,2017,r8,used,247.6397858795888
50,Sault Ste. Marie,6056,m,audi,2013,r8,used,435.9721786837661
29,Peterborough,12585,m,toyota,2006,camry,used,418.16049286393974
78,Guelph,1292,f,audi,2009,e-tron,used,122.12633125664964
77,Hamilton,12540,m,bmw,2016,m3,used,313.2251784626149
42,Repentigny,11941,m,ford,2013,explorer,used,409.1951899571895
65,Coquitlam,1439,f,tesla,2004,3,used,106.14231889653581
25,Richmond,17099,f,ford,2003,focus,used,415.39403846215185
65,Brampton,1355,f,gmc,2000,terrain,used,95.34934253007293
29,Red Deer,19555,f,acura,1998,mdx,used,426.1870148286146
51,North Vancouver,18966,f,acura,2019,mdx,new,417.2217119218644
42,Thunder Bay,10792,m,toyota,2015,corrola,used,409.1951899571895
73,Sault Ste. Marie,13489,f,audi,2003,e-tron,used,433.20572428197823
62,Halton Hills,19680,f,chevy,2018,equinox,used,283.6817353342503
81,Richmond Hill,8635,m,mercedes,2004,s,used,435.9721786837661
64,Prince George,12971,f,honda,2008,accord,used,406.42873555540154
78,Quebec City,2273,m,acura,2006,rsx,used,231.655773519475
58,Sherbrooke,17655,f,gmc,2016,terrain,used,406.42873555540154
59,Chilliwack,10468,f,toyota,2011,camry,used,283.6817353342503
81,Delta,17723,f,ford,2005,explorer,used,283.6817353342503
22,Barrie,14549,f,gmc,2002,terrain,used,292.64703824100053
70,Burnaby,4934,m,honda,2018,accord,used,286.44818973603816
70,Moncton,6023,m,bmw,2002,i8,used,435.9721786837661
33,Edmonton,2342,f,tesla,2004,s,used,106.14231889653581
47,Gatineau,15651,m,gmc,2009,terrain,used,286.44818973603816
54,Welland,16500,f,mercedes,2011,g,used,433.20572428197823
23,Welland,6539,m,nissan,2002,micro,used,418.16049286393974
40,Waterloo,7661,m,ford,1999,focus,used,409.1951899571895
33,Welland,4147,m,gmc,2007,yukon,used,409.1951899571895
69,Saanich,17216,m,chevy,2017,malibu,used,409.1951899571895
70,Richmond Hill,15685,m,bmw,2016,x5,used,435.9721786837661
80,Moncton,9641,m,acura,2015,mdx,used,419.98816632365237
57,Halifax,7794,m,chevy,2013,equinox,used,286.44818973603816
60,Calgary,3482,m,gmc,2011,yukon,used,286.44818973603816
