age,city,dist,gender,make,year,model,new_used,quote
59,Montreal,13917,f,acura,2015,mdx,used,119.12949613491774
82,Kawartha Lakes,6003,f,gmc,1998,terrain,used,114.8553758162863
32,Terrebonne,5525,m,audi,2003,r8,used,262.6026794404692
35,Brossard,17737,m,nissan,2007,mirano,used,221.45539109351694
64,Caledon,13117,f,gmc,2011,terrain,used,84.12605634480404
56,New Westminster,13925,m,ford,2007,focus,used,252.18471056499916
55,Chilliwack,7955,f,toyota,2018,camry,used,84.12605634480404
39,Halton Hills,4005,f,ford,2016,explorer,used,84.12605634480404
24,New Westminster,16324,m,acura,2012,mdx,used,478.65321295018475
30,Belleville,14405,m,ford,2016,explorer,used,221.45539109351694
35,Victoria,18527,m,toyota,2018,camry,used,252.18471056499916
45,Markham,21785,m,acura,2013,rsx,used,256.45883088363064
81,Brantford,22320,f,honda,2001,accord,used,84.12605634480404
67,Kelowna,17144,m,nissan,2001,mirano,used,252.18471056499916
68,Gatineau,8522,m,ford,2001,explorer,used,221.45539109351694
25,Sarnia,12678,f,acura,2004,mdx,used,341.32387820147187
25,Sault Ste. Marie,12899,m,acura,2005,mdx,used,478.65321295018475
40,Cambridge,4180,f,tesla,2001,x,used,88.40017666343549
60,Welland,16545,f,audi,2010,r8,used,125.27334469175632
21,Saint John,16036,m,gmc,2011,terrain,used,474.37909263155325
21,Pickering,15795,m,nissan,1999,mirano,used,474.37909263155325
53,Grande Prairie,4628,f,nissan,2016,mirano,used,84.12605634480404
20,Caledon,21572,f,bmw,2015,x5,used,316.73840728682814
23,Saskatoon,6741,m,toyota,2008,corrola,used,474.37909263155325
24,Brantford,23944,m,toyota,2016,camry,used,443.649773160071
75,Halton Hills,5296,f,ford,2011,focus,used,84.12605634480404
84,North Bay,17861,f,acura,2017,rsx,used,119.12949613491774
79,Grande Prairie,24909,f,ford,2016,focus,used,84.12605634480404
44,London,5057,m,toyota,2004,corrola,used,252.18471056499916
20,Oshawa,9380,m,gmc,2010,terrain,used,474.37909263155325
56,Halton Hills,6333,f,tesla,2006,3,used,88.40017666343549
33,Trois-Rivieres,21865,f,audi,2006,r8,used,125.27334469175632
75,Saanich,13787,f,gmc,2014,yukon,used,114.8553758162863
77,Thunder Bay,2316,m,tesla,2006,s,used,254.01943087619338
65,Langley,7319,f,mercedes,2000,s,used,125.27334469175632
50,Brossard,14996,m,audi,2005,e-tron,used,231.87335996898696
32,Saguenay,1788,m,chevy,2018,malibu,used,249.74531055756196
51,Richmond Hill,20988,f,gmc,2019,terrain,new,114.8553758162863
51,Sherbrooke,5894,f,nissan,2001,micro,used,114.8553758162863
81,Saanich,18422,m,audi,2007,r8,used,262.6026794404692
51,Sarnia,10853,m,chevy,2003,equinox,used,252.18471056499916
78,London,3353,m,honda,2016,civic,used,252.18471056499916
83,Waterloo,5274,m,mercedes,2015,c,used,262.6026794404692
20,Saint-Jerome,12286,m,mercedes,2017,s,used,484.79706150702333
42,Airdrie,21726,f,toyota,2000,camry,used,84.12605634480404
54,Whitby,16214,f,toyota,2019,camry,new,114.8553758162863
46,Saanich,17617,f,toyota,2006,camry,used,114.8553758162863
38,Sarnia,17600,f,chevy,2002,malibu,used,114.8553758162863
20,Brossard,11358,m,ford,2000,f150,used,443.649773160071
58,Clarington,8810,f,tesla,2012,3,used,88.40017666343549
28,Halton Hills,14086,m,ford,2009,f150,used,443.649773160071
38,Red Deer,5488,m,audi,1998,r8,used,262.6026794404692
81,Maple Ridge,11420,m,nissan,2004,micro,used,252.18471056499916
75,Fredericton,3781,m,tesla,2007,s,used,225.7295114121484
30,Oshawa,16418,f,honda,2017,accord,used,114.8553758162863
24,Hamilton,9185,m,audi,2001,r8,used,454.067742035541
25,Abbotsford,12032,m,bmw,2007,x5,used,454.067742035541
50,Brantford,9358,m,ford,2009,focus,used,221.45539109351694
48,Medicine Hat,7153,f,ford,2014,explorer,used,114.8553758162863
37,Nanaimo,18760,f,gmc,2003,terrain,used,114.8553758162863
64,Prince George,15949,m,toyota,2003,camry,used,252.18471056499916
47,Caledon,11333,f,audi,2001,r8,used,94.54402522027407
83,Calgary,18903,m,chevy,2009,equinox,used,221.45539109351694
58,Sherbrooke,19255,f,toyota,1998,camry,used,114.8553758162863
30,Granby,11765,m,tesla,2003,3,used,225.7295114121484
52,Belleville,2571,m,acura,2009,rsx,used,223.29011140471115
41,North Vancouver,10114,f,bmw,2019,i8,new,125.27334469175632
64,Delta,12409,m,audi,1998,e-tron,used,231.87335996898696
24,Laval,11307,f,bmw,2014,i8,used,347.4677267583104
42,St. Catharines,11281,f,audi,2014,r8,used,125.27334469175632
27,London,24539,f,ford,2010,explorer,used,337.04975788284037
43,Whitby,3148,f,tesla,2013,x,used,119.12949613491774
71,Kitchener,14442,m,chevy,1999,equinox,used,252.18471056499916
22,Sherbrooke,6887,f,ford,2011,f150,used,337.04975788284037
28,Repentigny,21644,m,mercedes,1999,s,used,484.79706150702333
68,Halifax,8957,m,gmc,2012,yukon,used,221.45539109351694
82,Greater Sudbury,9437,m,acura,2018,mdx,used,225.7295114121484
30,Fredericton,1218,m,tesla,2019,x,new,223.29011140471115
80,Saskatoon,16292,f,gmc,2019,terrain,new,114.8553758162863
42,North Vancouver,17063,f,gmc,2012,terrain,used,114.8553758162863
23,Whitby,14649,m,toyota,2010,corrola,used,474.37909263155325
30,Calgary,5482,f,honda,2015,civic,used,84.12605634480404
32,Calgary,9142,f,honda,2001,civic,used,84.12605634480404
62,Abbotsford,9031,m,nissan,2019,mirano,new,221.45539109351694
38,Terrebonne,7003,m,nissan,2016,mirano,used,252.18471056499916
52,Edmonton,24298,f,ford,2016,focus,used,84.12605634480404
31,Richmond,5388,m,gmc,2012,sierra,used,252.18471056499916
38,Clarington,18702,f,nissan,2000,mirano,used,84.12605634480404
59,Laval,4725,f,chevy,2007,malibu,used,114.8553758162863
37,Richmond Hill,18401,m,honda,2012,civic,used,252.18471056499916
41,Cape Breton,24776,m,ford,2016,f150,used,221.45539109351694
48,Saint Catharines,11761,m,tesla,2015,s,used,256.45883088363064
24,Red Deer,2959,f,gmc,2017,sierra,used,334.61035787540317
67,Kitchener,22280,m,nissan,2007,micro,used,252.18471056499916
33,Prince George,1331,f,nissan,2013,micro,used,112.41597580884904
66,Cambridge,8091,m,nissan,2017,mirano,used,221.45539109351694
60,Milton,18999,f,honda,2008,civic,used,114.8553758162863
32,Saint Catharines,18574,m,toyota,2005,camry,used,252.18471056499916
52,Moncton,11711,m,audi,2015,r8,used,262.6026794404692
26,Calgary,22137,f,chevy,2009,equinox,used,306.3204384113581
78,Waterloo,19033,m,chevy,2005,equinox,used,252.18471056499916
48,Moncton,4323,f,bmw,2001,i8,used,125.27334469175632
73,Brossard,4617,m,tesla,2006,x,used,225.7295114121484
63,Greater Sudbury,15669,f,tesla,1999,s,used,88.40017666343549
58,Saint John,19665,f,audi,2003,r8,used,125.27334469175632
43,Surrey,1280,m,ford,2002,f150,used,249.74531055756196
36,Kawartha Lakes,20041,m,nissan,2003,micro,used,252.18471056499916
53,St. Catharines,4727,m,tesla,1999,s,used,256.45883088363064
19,Burlington,14258,m,bmw,2005,i8,used,454.067742035541
72,Cape Breton,4069,m,honda,2005,accord,used,221.45539109351694
59,Brossard,16253,f,bmw,1999,x5,used,94.54402522027407
30,Moncton,3589,f,gmc,2003,yukon,used,114.8553758162863
53,Whitby,15070,m,chevy,2018,malibu,used,252.18471056499916
50,Vaughan,12065,f,mercedes,2009,g,used,125.27334469175632
41,Norfolk County,8891,f,honda,2000,civic,used,114.8553758162863
39,Prince George,1274,f,honda,2009,civic,used,112.41597580884904
51,Laval,14137,m,mercedes,2016,g,used,262.6026794404692
27,Toronto,10474,m,tesla,1998,s,used,478.65321295018475
65,Delta,12118,f,gmc,2010,sierra,used,84.12605634480404
57,Granby,5868,f,acura,2002,mdx,used,88.40017666343549
18,Abbotsford,16901,f,bmw,2000,i8,used,316.73840728682814
45,Strathcona County,6741,f,gmc,2010,sierra,used,114.8553758162863
33,Oshawa,17872,f,ford,2009,focus,used,114.8553758162863
19,Barrie,20032,f,mercedes,2000,s,used,316.73840728682814
80,Vancouver,19472,m,toyota,2010,corrola,used,252.18471056499916
73,Coquitlam,2864,m,chevy,2004,malibu,used,219.01599108607968
53,Vaughan,8763,f,ford,2015,explorer,used,114.8553758162863
21,Chatham-Kent,16887,m,tesla,2005,x,used,447.9238934787025
57,Hamilton,13787,m,ford,2011,explorer,used,221.45539109351694
62,Coquitlam,23428,m,toyota,2000,corrola,used,221.45539109351694
56,Oshawa,22085,f,ford,2009,f150,used,114.8553758162863
68,Vaughan,21817,f,toyota,1998,camry,used,114.8553758162863
45,Granby,1479,m,nissan,2007,mirano,used,219.01599108607968
29,Coquitlam,12572,f,gmc,2015,terrain,used,306.3204384113581
78,Saanich,6417,m,gmc,2007,yukon,used,252.18471056499916
34,Port Coquitlam,20808,f,ford,2006,focus,used,114.8553758162863
19,Burlington,18519,f,bmw,1998,x5,used,316.73840728682814
35,Richmond,10974,m,tesla,2006,x,used,256.45883088363064
56,Pickering,1920,f,gmc,2005,yukon,used,112.41597580884904
51,Whitby,20816,f,chevy,2006,equinox,used,114.8553758162863
40,Mirabel,18408,f,ford,2000,focus,used,114.8553758162863
81,Newmarket,9951,f,mercedes,2004,c,used,125.27334469175632
48,Repentigny,18712,m,bmw,2003,m3,used,262.6026794404692
49,Calgary,13578,f,tesla,2015,x,used,88.40017666343549
